             vars   n   mean     sd median trimmed    mad   min     max   range  skew kurtosis    se
female          1 106  32.85  30.09  34.00   28.87  25.58  0.00  100.00  100.00  0.67    -0.14  2.92
age             2 106  12.09   4.39  12.35   12.36   5.75  3.42   17.54   14.12 -0.37    -1.29  0.43
N               3 106 370.40 713.72 198.00  241.88 153.45 37.00 6791.00 6754.00  7.03    59.05 69.32
Emp_aff         4 106   0.22   0.41   0.00    0.15   0.00  0.00    1.00    1.00  1.35    -0.17  0.04
Emp_cog         5 106   0.23   0.42   0.00    0.16   0.00  0.00    1.00    1.00  1.29    -0.34  0.04
prosocial       6 106   0.18   0.39   0.00    0.10   0.00  0.00    1.00    1.00  1.65     0.73  0.04
guilt           7 106   0.04   0.19   0.00    0.00   0.00  0.00    1.00    1.00  4.78    21.08  0.02
R               8 106  -0.34   0.19  -0.35   -0.35   0.16 -0.86    0.29    1.15  0.48     1.56  0.02
CU_resp         9 106   0.45   0.50   0.00    0.44   0.00  0.00    1.00    1.00  0.19    -1.98  0.05
Out_resp       10 106   0.35   0.48   0.00    0.31   0.00  0.00    1.00    1.00  0.62    -1.63  0.05
Samp_typ       11 106   0.40   0.49   0.00    0.37   0.00  0.00    1.00    1.00  0.42    -1.84  0.05
CU_Rel         12 106   0.75   0.13   0.79    0.76   0.09  0.30    0.92    0.62 -1.20     1.53  0.01
Out_Rel        13 106   0.75   0.11   0.76    0.76   0.10  0.50    0.93    0.43 -0.39    -0.64  0.01
citation*      14 106  30.08  16.53  30.50   29.94  21.50  2.00   60.00   58.00  0.01    -1.27  1.61
Id             15 106  29.43  16.93  29.50   29.26  21.50  1.00   60.00   59.00  0.03    -1.28  1.64
R_var          16 106   0.01   0.01   0.00    0.00   0.00  0.00    0.03    0.03  1.74     3.02  0.00
CU_resp.R*     17 106    NaN     NA     NA     NaN     NA   Inf    -Inf    -Inf    NA       NA    NA
Out_resp.R*    18 106    NaN     NA     NA     NaN     NA   Inf    -Inf    -Inf    NA       NA    NA
Same_diff      19 106   0.10   0.31   0.00    0.01   0.00  0.00    1.00    1.00  2.56     4.61  0.03
Same_diff.R*   20 106    NaN     NA     NA     NaN     NA   Inf    -Inf    -Inf    NA       NA    NA
Samp_typ.R*    21 106    NaN     NA     NA     NaN     NA   Inf    -Inf    -Inf    NA       NA    NA
d_cor          22  10  -0.89   1.13  -0.57   -0.77   0.58 -3.14    0.44    3.58 -0.90    -0.65  0.36
Eff_var_d      23  10   0.14   0.07   0.11    0.13   0.04  0.08    0.25    0.18  0.63    -1.44  0.02
Eff            24 106  -0.45   0.25  -0.45   -0.46   0.20 -0.91    0.36    1.26  0.62     0.78  0.02
Eff_var        25 106   0.01   0.01   0.00    0.01   0.00  0.00    0.04    0.04  1.88     3.53  0.00
